Company name,Valuation (in $B),Date Joined,Country of origin,City,Industry,Investors,Longitude,Latitude,longitude,latitude,lon,lat
WEMAKEPRICE,2.34,09-09-2015,South Korea,Seoul,E-commerce & direct-to-consumer,"IMM Investment, NXC",127.6961188,36.638392,127.6961188,36.638392,126.9782914,37.5666791
Uptake,2.3,27-10-2015,United States,Chicago,Artificial intelligence,"Revolution, New Enterprise Associates, Caterpillar",-100.4458825,39.7837304,-100.4458825,39.7837304,-87.6244212,41.8755616
Skydance Media,2.3,11-02-2020,United States,Santa Monica,Other,"RedBird Capital Partners, CJ ENM, Tencent Holdings",-100.4458825,39.7837304,-100.4458825,39.7837304,-118.4912273,34.0194704
Lyra Health,2.3,25-08-2020,United States,Burlingame,Health,"Greylock Partners, Venrock, Providence Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.3660825,37.5841026
Greenlight,2.3,24-09-2020,United States,Atlanta,Fintech,"Relay Ventures, TTV Capital, Canapi Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-84.3902644,33.7489924
Highspot,2.3,22-02-2021,United States,Seattle,Internet software & services,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.3300624,47.6038321
Bowery Farming,2.3,25-05-2021,United States,New York,Other,"Temasek, Google Ventures, General Catalyst",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
ReNew Power,2.28,14-02-2017,India,Gurugram,Other,"Goldman Sachs, JERA, Asian Development Bank",78.6677428,22.3511148,78.6677428,22.3511148,77.0299194,28.4646148
HEYTEA,2.26,01-07-2019,China,Shenzhen,Other,"Sequoia Capital China, Tencent Investment, BA Capital",104.999927,35.000074,104.999927,35.000074,114.0543297,22.555454
Zume,2.25,01-11-2018,United States,Mountain View,Consumer & retail,"Softbank Group, AME Cloud Ventures, SignalFire",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.0832101,37.3893889
Via,2.25,30-03-2020,United States,New York,Auto & transportation,"83North, RiverPark Ventures, Pitango Venture Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Planet Labs,2.2,13-04-2015,United States,San Francisco,Other,"Threshold Ventures, O'Reilly AlphaTech Ventures, Data Collective",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
NuCom Group,2.2,22-02-2018,Germany,Unterfoehring,Other,General Atlantic,10.4234469,51.0834196,10.4234469,51.0834196,11.6449481,48.1949828
Lyell Immunopharma,2.2,08-02-2019,United States,South San Francisco,Health,"ARCH Venture Partners, Foresite Capital, Altitude Life Science Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.4168664,37.6535403
Checkr,2.2,19-09-2019,United States,San Francisco,Internet software & services,"Y Combinator, Accel, T. Rowe Price",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
MUSINSA,2.2,11-11-2019,South Korea,Seoul,E-commerce & direct-to-consumer,Sequoia Capital,127.6961188,36.638392,127.6961188,36.638392,126.9782914,37.5666791
Attentive,2.2,23-09-2020,United States,Hoboken,Mobile & telecommunications,"NextView Ventures, Eniac Ventures, Sequoia Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0323752,40.7433066
CRED,2.2,06-04-2021,India,Bengaluru,Fintech,"Tiger Global Management, DST Global, Ribbit Capital",78.6677428,22.3511148,78.6677428,22.3511148,77.5912997,12.9791198
Current,2.2,27-04-2021,United States,New York,Fintech,"Expa, QED Investors, Foundation Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Bitso,2.2,05-05-2021,Mexico,Mexico City,Fintech,"Pantera Capital, QED Investors, Coinbase Ventures",-100.0000375,22.5000485,-100.0000375,22.5000485,-99.1331785,19.4326296
Huaqin Telecom Technology,2.19,08-10-2019,China,Shanghai,Mobile & telecommunications,"Zhangjiang Haocheng Venture Capital, Walden International, Intel Capital",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
YITU Technology,2.17,08-03-2018,China,Shanghai,Artificial intelligence,"Sequoia Capital China, Banyan Capital",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Cockroach Labs,2.16,12-01-2021,United States,New York,Data management & analytics,"Google Ventures, Benchmark, FirstMark Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Nextdoor,2.1,04-03-2015,United States,San Francisco,Internet software & services,"Benchmark Capital, DAG Ventures, Insight Venture Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
FirstCry,2.1,07-02-2020,India,Pune,E-commerce & direct-to-consumer,"SoftBank Group, SAIF Partners India, Valiant Capital Partners",78.6677428,22.3511148,78.6677428,22.3511148,73.8544541,18.521428
C6 Bank,2.1,02-12-2020,Brazil,Sao Paulo,Fintech,Credit Suisse,-53.2,-10.3333333,-53.2,-10.3333333,-46.6333824,-23.5506507
Webflow,2.1,13-01-2021,United States,San Francisco,Internet software & services,"Accel, Silversmith Capital Partners, capitalG",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
6Sense,2.1,30-03-2021,United States,San Francisco,Artificial intelligence,"Venrock, Battery Ventures, Insight Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Meesho,2.1,05-04-2021,India,Bengaluru,Internet software & services,"Venture Highway, Elevation Capital, Prosus Ventures",78.6677428,22.3511148,78.6677428,22.3511148,77.5912997,12.9791198
ShareChat,2.1,08-04-2021,India,Bengaluru,Internet software & services,"India Quotient, Elevation Capital, Lightspeed Venture Partners",78.6677428,22.3511148,78.6677428,22.3511148,77.5912997,12.9791198
ReCharge,2.1,06-05-2021,United States,Los Angeles,Fintech,"ICONIQ Growth, Bain Capital Ventures, Summit Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-118.242766,34.0536909
Mambu,2.08,06-01-2021,Germany,Berlin,Fintech,"Runa Capital, Acton Capital Partners, Point Nine Capital",10.4234469,51.0834196,10.4234469,51.0834196,13.3888599,52.5170365
Trendy Group International,2,13-02-2012,Hong Kong,,Consumer & retail,L Capital Partners,114.1628131,22.2793278,114.1628131,22.2793278,11.0480288,46.3144754
Avant,2,17-12-2012,United States,Chicago,Artificial intelligence,"RRE Ventures, Tiger Global, August Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-87.6244212,41.8755616
Tubatu.com,2,09-03-2015,China,Shenzhen,E-commerce & direct-to-consumer,"Sequoia Capital China, Matrix Partners China, 58.com",104.999927,35.000074,104.999927,35.000074,114.0543297,22.555454
BlaBlaCar,2,16-09-2015,France,Paris,Auto & transportation,"Accel Partners, Index Ventures, Insight Venture Partners",1.8883335,46.603354,1.8883335,46.603354,2.3514616,48.8566969
Quanergy Systems,2,22-08-2016,United States,Sunnyvale,Auto & transportation,"Delphi Automotive, Samsung Ventures, Motus Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.036349,37.3688301
HuiMin,2,05-09-2016,China,Beijing,E-commerce & direct-to-consumer,"Zheshang Venture Capital, GP Capital, Western Capital Management",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Quora,2,21-04-2017,United States,Mountain View,Internet software & services,"Y Combinator, Matrix Partners, Benchmark",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.0832101,37.3893889
Improbable,2,11-05-2017,United Kingdom,London,Other,"Andreessen Horowitz, SoftBank Group, Temasek Holdings",-3.2765753,54.7023545,-3.2765753,54.7023545,-0.1276474,51.5073219
Kuaikan Manhua,2,01-12-2017,China,Beijing,Internet software & services,"Sequoia Capital China, CMC Capital Partners, Tencent Holdings",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Preferred Networks,2,17-05-2018,Japan,Tokyo,Artificial intelligence,"Toyota Motor Corporation, Mizuho Financial Group, FANUC",139.2394179,36.5748441,139.2394179,36.5748441,139.7594549,35.6828387
LegalZoom,2,31-07-2018,United States,Glendale,Internet software & services,"K1 Capital, Francisco Partners, Neuberger Berman",-100.4458825,39.7837304,-100.4458825,39.7837304,-118.2478471,34.1469416
4Paradigm,2,19-12-2018,China,Beijing,Artificial intelligence,"Sequoia Capital China, China Construction Bank, Bank of China",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Calm,2,06-02-2019,United States,San Francisco,Consumer & retail,"Insight Venture Partners, TPG Growth, Sound Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Kaseya,2,27-03-2019,United States,Miami,Cybersecurity,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund",-100.4458825,39.7837304,-100.4458825,39.7837304,-80.19362,25.7741728
Mafengwo,2,23-05-2019,China,Beijing,Travel,"Qiming Venture Partners, Capital Today, General Atlantic",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Druva,2,20-06-2019,United States,Sunnyvale,Data management & analytics,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.036349,37.3688301
Babylon Health,2,02-08-2019,United Kingdom,London,Artificial intelligence,"Kinnevik, Vostok New Ventures, Public Investment Fund of Saudi Arabia",-3.2765753,54.7023545,-3.2765753,54.7023545,-0.1276474,51.5073219
Kujiale,2,25-10-2019,China,Hangzhou,Internet software & services,"GGV Capital, IDG Capital, Linear Venture",104.999927,35.000074,104.999927,35.000074,120.2052342,30.2489634
AppsFlyer,2,21-01-2020,United States,San Francisco,Mobile & telecommunications,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Notion Labs,2,01-04-2020,United States,San Francisco,Internet software & services,"Index Ventures, Draft Ventures, Felicis Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Figma,2,30-04-2020,United States,San Francisco,Internet software & services,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Dingdong Maicai,2,12-05-2020,China,Shanghai,E-commerce & direct-to-consumer,"Gaorong Capital, CMC Capital Partners, General Atlantic",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Keep,2,19-05-2020,China,Beijing,Mobile & telecommunications,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
Postman,2,11-06-2020,United States,San Francisco,Internet software & services,"Nexus Venture Partners, CRV, Insight Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Redis Labs,2,25-08-2020,United States,Mountain View,Data management & analytics,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.0832101,37.3893889
Unacademy,2,02-09-2020,India,Bengaluru,Edtech,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",78.6677428,22.3511148,78.6677428,22.3511148,77.5912997,12.9791198
Xingyun B2B,2,24-09-2020,China,Shenzhen,E-commerce & direct-to-consumer,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings",104.999927,35.000074,104.999927,35.000074,114.0543297,22.555454
Tipalti,2,06-10-2020,United States,San Mateo,Fintech,"01 Advisors, Zeev Ventures, Group 11",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.3330573,37.496904
Unqork,2,06-10-2020,United States,New York,Fintech,"Blackrock, capitalG, World Lab Innovation",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Chainalysis,2,23-11-2020,United States,New York,Fintech,"Addition, Benhcmark, Accel",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Virta Health,2,02-12-2020,United States,San Francisco,Health,"Caffeinated Capital, Obvious Ventures, Venrock",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
ISN,2,17-12-2020,United States,Dallas,"Supply chain, logistics, & delivery",Blackstone,-100.4458825,39.7837304,-100.4458825,39.7837304,-96.7968559,32.7762719
NAYUKI,2,30-12-2020,China,Shenzhen,Other,"PAG, Yunfeng Capital, Tiantu Capital",104.999927,35.000074,104.999927,35.000074,114.0543297,22.555454
Earnix,2,21-02-2021,Israel,Giv'atayim,Fintech,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners",34.8667654,31.5313113,34.8667654,31.5313113,34.8113279,32.0729606
ATAI Life Sciences,2,03-03-2021,Germany,Berlin,Health,"Apeiron Investment Group, Subversive Capital, Thiel Capital",10.4234469,51.0834196,10.4234469,51.0834196,13.3888599,52.5170365
Clearco,2,20-04-2021,Canada,Toronto,Fintech,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners",-107.991707,61.0666922,-107.991707,61.0666922,-79.3839347,43.6534817
Hive,2,21-04-2021,United States,San Francisco,Artificial intelligence,"Tomales Bay Capital, Bain & Company, General Catalyst",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
KRY,2,27-04-2021,Sweden,Stockholm,Health,"Index Ventures, Creandum, Accel",14.5208584,59.6749712,14.5208584,59.6749712,18.0710935,59.3251172
Urban Company,2.1,27-04-2021,India,Gurgaon,E-commerce & direct-to-consumer,"VY Capital, Accel, Elevation Capital",78.6677428,22.3511148,78.6677428,22.3511148,77.00270015,28.42826235
Kajabi,2,04-05-2021,United States,Irvine,Internet software & services,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity",-100.4458825,39.7837304,-100.4458825,39.7837304,-117.8259819,33.6856969
Ethos Technologies,2,11-05-2021,United States,San Francisco,Fintech,"Sequoia Capital, Google Ventures, Accel",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
ThoughtSpot,2.05,08-05-2018,United States,Sunnyvale,Internet software & services,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.036349,37.3688301
Formlabs,2,01-08-2018,United States,Somerville,Hardware,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group",-100.4458825,39.7837304,-100.4458825,39.7837304,-71.0994968,42.3875968
Pipe,2,19-05-2021,United States,Miami,Fintech,"next47, MaC Venture Capital, FinVC",-100.4458825,39.7837304,-100.4458825,39.7837304,-80.19362,25.7741728
Starling Bank,1.95,08-03-2021,United Kingdom,London,Fintech,"JTC Group, Qatar Investment Authority, Fidelity Investment",-3.2765753,54.7023545,-3.2765753,54.7023545,-0.1276474,51.5073219
InVision,1.9,01-11-2017,United States,New York,Internet software & services,"FirstMark Capital, Tiger Global Management, ICONIQ Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
BillDesk,1.9,16-11-2018,India,Mumbai,Fintech,"Temasek Holdings, Visa, March Capital Partners",78.6677428,22.3511148,78.6677428,22.3511148,72.8773928,19.0759899
eDaili,1.9,01-02-2019,China,Shanghai,E-commerce & direct-to-consumer,"K2VC, Lightspeed China Partners, Sky9 Capital",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
monday.com,1.9,30-07-2019,Israel,Tel Aviv,Internet software & services,"Entree Capital, Genesis Partners, Insight Partners",34.8667654,31.5313113,34.8667654,31.5313113,34.7818064,32.0852997
Anduril,1.9,11-09-2019,United States,Irvine,Artificial intelligence,"Andreessen Horowitz, Founders Fund, Revolution Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-117.8259819,33.6856969
MX Technologies,1.9,13-01-2021,United States,Lehi,Fintech,"Point72 Ventures, Pelion Venture Partners, Commerce Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-1.6800198,48.1113387
Digit Insurance,1.9,15-01-2021,India,Bengaluru,Fintech,"Fairfax Financial Holdings, A91 Partners, TVS Capital",78.6677428,22.3511148,78.6677428,22.3511148,77.5912997,12.9791198
Aledade,1.9,19-01-2021,United States,Bethesda,Health,"Venrock, CVF Capital Partners, ARCH Venture Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-77.12423413,38.9819845
SpotOn,1.88,26-05-2021,United States,San Francisco,Fintech,"Dragoneer Investment Group, DST Global, Franklin Templeton",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
ENOVATE,1.85,15-04-2019,China,Shanghai,Auto & transportation,Automobile Industry Guidance Fund,104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Automattic,1.8,27-05-2013,United States,San Francisco,Internet software & services,"Insight Venture Partners, Lowercase Capital, Polaris Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
ZocDoc,1.8,20-08-2015,United States,New York,Health,"Founders Fund, Khosla Ventures, Goldman Sachs",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Diamond Foundry,1.8,29-03-2021,United States,South San Francisco,Other,"Fashion Tech Lab, Fidelity Investments, Vast Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.4168664,37.6535403
AIWAYS,1.78,16-04-2018,China,Shanghai,Auto & transportation,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology",104.999927,35.000074,104.999927,35.000074,121.4692071,31.2322758
Farmers Business Network,1.75,03-08-2020,United States,San Carlos,Other,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.2618236,37.504936
GOAT,1.75,23-09-2020,United States,Culver City,E-commerce & direct-to-consumer,"Upfront Ventures, Webb Investment Network, D1 Capital Partners",-100.4458825,39.7837304,-100.4458825,39.7837304,-118.396466,34.0211224
Creditas,1.75,18-12-2020,Brazil,Sao Paulo,Fintech,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital",-53.2,-10.3333333,-53.2,-10.3333333,-46.6333824,-23.5506507
Trulioo,1.75,07-06-2021,Canada,Vancouver,Cybersecurity,"Blumberg Capital, American Express Ventures, BDC Venture Capital",-107.991707,61.0666922,-107.991707,61.0666922,-123.1139529,49.2608724
Apus Group,1.73,16-01-2015,China,Beijing,Mobile & telecommunications,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital",104.999927,35.000074,104.999927,35.000074,116.3912757,39.906217
BetterUp,1.73,25-02-2021,United States,San Francisco,Internet software & services,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Buzzfeed,1.7,18-08-2015,United States,New York,Internet software & services,"SV Angel, RRE Ventures, New Enterprise Associates",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Thumbtack,1.7,29-09-2015,United States,San Francisco,E-commerce & direct-to-consumer,"Tiger Global, Sequoia Capital, Google Capital",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Harry's Razor Company,1.7,16-02-2018,United States,New York,Consumer & retail,"Thrive Capital, Tiger Global Management, Temasek",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
Allbirds,1.7,11-10-2018,United States,San Francisco,E-commerce & direct-to-consumer,"Lerer Hippeau Ventures, T. Rowe Price, Tiger Global Management",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
PAX,1.7,22-10-2018,United States,San Francisco,Consumer & retail,"Tao Capital Partners, Global Asset Capital, Tiger Global Management",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Carta,1.7,06-05-2019,United States,San Francisco,Fintech,"Menlo Ventures, Spark Capital, Union Square Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
VTEX,1.7,28-09-2020,Brazil,Sao Paulo,E-commerce & direct-to-consumer,"Riverwood Capital, Gavea Investimentos, Endeavor",-53.2,-10.3333333,-53.2,-10.3333333,-46.6333824,-23.5506507
Workato,1.7,12-01-2021,United States,Mountain View,Internet software & services,"Battery Ventures, Storm Ventures, Redpoint Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.0832101,37.3893889
Harness,1.7,14-01-2021,United States,San Francisco,Artificial intelligence,"Menlo Ventures, Alkeon Capital Management, Citi Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Personio,1.7,19-01-2021,Germany,Munich,Internet software & services,"Global Founders Capital, Nortzone Ventures, Picus Capital",10.4234469,51.0834196,10.4234469,51.0834196,11.5753822,48.1371079
DispatchHealth,1.7,03-03-2021,United States,Denver,Health,"Alta Partners, Questa Capital, Echo Health Venturesl",-100.4458825,39.7837304,-100.4458825,39.7837304,-104.9848623,39.7392364
Dutchie,1.7,16-03-2021,United States,Bend,E-commerce & direct-to-consumer,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-121.3153096,44.0581728
Wiz,1.7,17-03-2021,Israel,Tel Aviv,Cybersecurity,"Insight Partners, Sequoia Capital, Index Ventures",34.8667654,31.5313113,34.8667654,31.5313113,34.7818064,32.0852997
Unite Us,1.7,17-03-2021,United States,New York,Health,"Scout Ventures, New York Ventures, Define Ventures",-100.4458825,39.7837304,-100.4458825,39.7837304,-74.0060152,40.7127281
CircleCI,1.7,11-05-2021,United States,San Francisco,Internet software & services,"Threshold Ventures, Baseline Ventures, Harrison Metal",-100.4458825,39.7837304,-100.4458825,39.7837304,-122.419906,37.7790262
Alan,1.68,19-04-2021,France,Paris,Fintech,"Index Ventures, Temasek, Portag3 Ventures",1.8883335,46.603354,1.8883335,46.603354,2.3514616,48.8566969
